method,assignment,f1_neg_throughput,throughput,f2_interference,f3_energy
Random,1-1-0-2-0-2-0-2,-15.506711443573225,15.506711443573225,1.6816240985309632,8.344305107982214
Random,1-0-1-2-1-2-0-2,-15.626990095244597,15.626990095244597,1.4003728666104676,8.963406918974625
Random,1-1-2-2-0-1-2-1,-12.43917005178239,12.43917005178239,2.8639153781481057,6.945584539567906
Random,2-2-2-1-2-1-2-0,-18.0067604193496,18.0067604193496,4.299605133790788,9.8981594450999
Random,2-1-2-0-2-0-0-0,-20.093095317542918,20.093095317542918,1.5968500497280333,10.239412283552122
Random,0-2-2-2-0-2-1-2,-15.496498858086918,15.496498858086918,3.5145299038989304,7.393978127068584
Random,1-1-1-2-0-2-1-1,-13.05094205044962,13.05094205044962,4.357585533510819,6.868792431204768
Random,2-0-2-1-2-1-1-2,-20.04378993909237,20.04378993909237,1.8498229287960957,9.913010119361285
Random,0-2-2-1-0-2-2-2,-16.194452804917095,16.194452804917095,3.9377957416196656,7.81064947107217
Random,2-0-2-1-2-1-1-0,-20.927395366680287,20.927395366680287,1.3029764301880027,10.326995290705348
Random,0-0-2-1-0-0-2-1,-13.714472400970582,13.714472400970582,2.9879928179937134,7.7645715624049325
Random,2-2-2-1-0-0-1-1,-13.005507309288383,13.005507309288383,2.7777877186608553,7.761070091911632
Random,2-0-2-0-1-2-0-1,-15.773797804403506,15.773797804403506,1.654741032992317,9.544539701856928
Random,1-2-2-2-0-1-2-0,-13.782715460017783,13.782715460017783,2.740351824127251,7.919037317468634
Random,1-1-0-2-0-2-2-2,-13.748915032291587,13.748915032291587,1.7221105553202731,8.030149511991333
Random,1-2-2-1-0-2-1-1,-10.527066037730389,10.527066037730389,4.449346379926868,6.754409901812926
Random,1-2-2-2-0-0-1-1,-7.139461983568435,7.139461983568435,4.606709770631827,6.47667060782328
Random,0-1-2-1-0-1-2-2,-17.36674638012484,17.36674638012484,1.842522203633516,8.252001350265552
Random,1-2-0-0-1-2-0-2,-17.903775569295156,17.903775569295156,1.9198141524548857,9.553020267488375
Random,0-0-2-2-1-2-1-1,-12.517746831486111,12.517746831486111,2.366964063780527,7.917876556721676
Greedy,2-1-1-0-2-0-0-1,-22.575611506461197,22.575611506461197,1.657149463297496,9.605009932304307
Greedy,2-1-2-0-2-0-0-1,-21.05680945567726,21.05680945567726,1.3029764301880027,9.211581307921433
Greedy,2-1-1-0-2-1-0-1,-23.150184568542446,23.150184568542446,2.4894635807248444,9.936298615036378
Greedy,0-2-0-1-0-1-1-1,-19.633831743877995,19.633831743877995,1.5968500497280333,8.358223146566589
Greedy,0-2-0-1-0-1-2-1,-18.655489476750382,18.655489476750382,1.4003728666104676,8.441470197849181
Greedy,0-2-0-1-0-1-1-2,-19.84507061282532,19.84507061282532,1.3029764301880027,8.972068950853217
Greedy,0-2-2-1-0-1-1-1,-19.724861694178895,19.724861694178895,1.7297745161890012,7.500530296966369
Greedy,0-2-2-1-0-2-1-1,-17.319284116820157,17.319284116820157,2.303796521640068,7.11355661550295
Greedy,0-2-2-1-0-1-2-1,-20.04129041208363,20.04129041208363,1.7226974252972254,7.5837773482489625
Greedy,0-0-2-1-0-1-2-1,-17.4980853148783,17.4980853148783,1.3639521791535456,8.095860245137002
Greedy,1-1-0-2-0-2-2-1,-13.58443968612538,13.58443968612538,2.0185953292379737,7.4163037077047065
Greedy,1-1-1-2-0-2-2-0,-15.245039468499918,15.245039468499918,1.4883933053952698,7.97987045811805
Greedy,0-2-2-1-0-1-1-2,-21.211819839736055,21.211819839736055,1.657149463297496,8.114376101252997
Greedy,0-0-2-1-0-1-1-2,-18.816460465430374,18.816460465430374,1.359783377571796,8.626458998141036
Greedy,1-1-2-2-0-2-0-2,-13.627682743522659,13.627682743522659,2.093534853180607,7.486612258381994
Greedy,1-1-2-2-0-2-1-2,-12.817921785665378,12.817921785665378,2.8735342581944066,7.0892096111085205
Greedy,1-1-2-2-0-2-0-1,-11.207916771654507,11.207916771654507,2.6954269895931016,6.872766454095367
Evolutionary MOO,2-1-2-0-1-2-0-1,-18.251992133263478,18.251992133263478,1.9641191487590572,9.086835002698848
Evolutionary MOO,0-2-2-1-0-2-2-1,-17.01020647096609,17.01020647096609,2.69881682424825,7.196803666785543
Evolutionary MOO,1-2-2-2-0-0-1-1,-7.139461983568435,7.139461983568435,4.606709770631827,6.47667060782328
Evolutionary MOO,0-1-0-2-0-1-2-1,-16.077637492928677,16.077637492928677,1.790819254971825,8.162424102858148
Evolutionary MOO,0-2-1-2-0-2-2-1,-16.4669517574767,16.4669517574767,1.8587423217901176,7.256807998447423
Evolutionary MOO,2-1-0-1-2-1-0-1,-21.261884146451727,21.261884146451727,1.8015319629538873,10.096555112790272
Evolutionary MOO,0-2-2-2-0-0-1-1,-10.776822717062897,10.776822717062897,3.4022474823749693,6.835817321513305
Evolutionary MOO,2-2-2-0-1-2-0-1,-18.775465008242108,18.775465008242108,2.324047511151615,9.032456804968886
Evolutionary MOO,1-2-0-2-1-2-2-0,-16.470739210180316,16.470739210180316,1.8587423217901176,9.015417822657112
Evolutionary MOO,2-0-1-0-2-1-1-0,-20.203373104644584,20.203373104644584,1.6581604308135909,11.024431642551672
Evolutionary MOO,0-0-1-2-0-2-2-1,-15.528083070256582,15.528083070256582,1.359783377571796,7.768890895335465
NSGA-II-style,0-2-1-2-0-1-1-2,-17.605415682393662,17.605415682393662,1.6581604308135909,8.174380432914877
NSGA-II-style,1-1-1-2-0-2-2-0,-15.245039468499918,15.245039468499918,1.4883933053952698,7.97987045811805
NSGA-II-style,1-2-2-0-1-0-0-1,-17.836106099479405,17.836106099479405,1.7614988286085378,8.137166612332877
NSGA-II-style,1-1-0-2-0-2-2-0,-15.687712404120255,15.687712404120255,1.3847250409306042,8.444134683335395
NSGA-II-style,0-2-2-1-0-2-1-1,-17.319284116820157,17.319284116820157,2.303796521640068,7.11355661550295
NSGA-II-style,1-2-1-2-0-2-2-1,-12.227678088337305,12.227678088337305,2.5450968975739605,6.897661284757399
NSGA-II-style,1-2-2-0-1-0-0-2,-20.561044004349636,20.561044004349636,1.657149463297496,8.751012416619503
NSGA-II-style,1-1-2-2-0-2-1-1,-10.98660832952098,10.98660832952098,4.00208232375022,6.4753638068218935
NSGA-II-style,1-1-2-0-0-2-0-2,-15.82460710075068,15.82460710075068,1.7539292410738754,8.124044278566439
NSGA-II-style,1-2-1-0-1-0-0-2,-18.946328662513178,18.946328662513178,1.3029764301880027,9.144441041002377
NSGA-II-style,0-1-2-2-0-2-2-1,-16.437034490792456,16.437034490792456,1.776442620314589,6.91775757179451
NSGA-II-style,0-2-2-2-0-2-1-1,-14.141991339642379,14.141991339642379,3.1130230112815083,6.780132322781957
NSGA-II-style,0-2-0-1-0-2-1-2,-18.126395835914224,18.126395835914224,1.790819254971825,8.585095269389797
NSGA-II-style,0-2-2-1-0-2-1-2,-19.530465427946105,19.530465427946105,2.4894635807248444,7.727402419789577
NSGA-II-style,0-1-2-1-0-1-2-1,-17.650547994391772,17.650547994391772,1.8015319629538873,7.6381555459789245
MOEA/D-style,1-0-2-0-1-2-0-2,-17.996803445769203,17.996803445769203,1.5715655081261448,9.207410314776196
MOEA/D-style,1-0-1-2-1-2-0-2,-15.626990095244597,15.626990095244597,1.4003728666104676,8.963406918974625
MOEA/D-style,0-2-1-1-0-1-2-1,-17.89740106122141,17.89740106122141,1.9056875311597894,7.977205972631837
MOEA/D-style,1-2-1-0-1-2-0-2,-18.91666293347769,18.91666293347769,1.790819254971825,9.08875604227103
MOEA/D-style,2-1-1-0-2-0-0-1,-22.575611506461197,22.575611506461197,1.657149463297496,9.605009932304307
MOEA/D-style,0-1-2-1-0-1-1-1,-16.675522605356175,16.675522605356175,2.8710639393971285,7.554908494696331
MOEA/D-style,0-1-2-1-0-0-2-1,-13.491378326083774,13.491378326083774,2.306081670702734,7.306866863246854
MOEA/D-style,2-1-1-0-2-1-0-1,-23.150184568542446,23.150184568542446,2.4894635807248444,9.936298615036378
MOEA/D-style,2-1-2-0-2-0-0-1,-21.05680945567726,21.05680945567726,1.3029764301880027,9.211581307921433
MOEA/D-style,0-1-2-1-0-1-2-1,-17.650547994391772,17.650547994391772,1.8015319629538873,7.6381555459789245
MOEA/D-style,0-1-2-2-0-2-1-1,-15.20129038538873,15.20129038538873,2.4438772032578733,6.834510520511917
MOEA/D-style,2-1-1-0-2-0-1-1,-21.04027346149447,21.04027346149447,2.7033842306923592,9.207607285030834
MOEA/D-style,0-2-2-2-0-2-1-1,-14.141991339642379,14.141991339642379,3.1130230112815083,6.780132322781957
Classical-Seeded Evolutionary MOO,2-1-1-0-2-0-0-1,-22.575611506461197,22.575611506461197,1.657149463297496,9.605009932304307
Classical-Seeded Evolutionary MOO,2-1-2-0-2-0-0-1,-21.05680945567726,21.05680945567726,1.3029764301880027,9.211581307921433
Classical-Seeded Evolutionary MOO,2-1-1-0-2-1-0-1,-23.150184568542446,23.150184568542446,2.4894635807248444,9.936298615036378
Classical-Seeded Evolutionary MOO,0-2-0-1-0-1-1-1,-19.633831743877995,19.633831743877995,1.5968500497280333,8.358223146566589
Classical-Seeded Evolutionary MOO,0-2-0-1-0-1-2-1,-18.655489476750382,18.655489476750382,1.4003728666104676,8.441470197849181
Classical-Seeded Evolutionary MOO,0-2-0-1-0-1-1-2,-19.84507061282532,19.84507061282532,1.3029764301880027,8.972068950853217
Classical-Seeded Evolutionary MOO,0-2-2-1-0-1-1-1,-19.724861694178895,19.724861694178895,1.7297745161890012,7.500530296966369
Classical-Seeded Evolutionary MOO,0-2-2-1-0-2-1-1,-17.319284116820157,17.319284116820157,2.303796521640068,7.11355661550295
Classical-Seeded Evolutionary MOO,0-2-2-1-0-1-2-1,-20.04129041208363,20.04129041208363,1.7226974252972254,7.5837773482489625
