case_name,seed_count,method,mean_final_hv,std_final_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_archive_size,mean_direction_coverage,mean_runtime,win_rate_vs_nsga2,win_rate_vs_moead,win_rate_vs_classical_seeded_ea,win_rate_vs_fixed_qaoa,users,channels,feasible_space_size,budget,conflict_level
extreme_conflict_8x3,3,AI-Adaptive Pareto-QAOA,0.9758645705206895,0.017397235515311197,0.9901743170580429,0.010898747204865986,0.8925493201650029,0.019776230112306416,0.9056352327526805,0.015455003715487442,48.0,0.8333333333333334,3.0086490313212075,1.0,1.0,0.6666666666666666,0.3333333333333333,8,3,6561,500,very_high
extreme_conflict_8x3,3,Classical-Seeded Evolutionary MOO,0.9271895370135367,0.010466552657973171,0.9409053407065096,0.012886399673174162,0.8941258438568395,0.008105137057988314,0.9072903804360416,0.00179196842976798,37.666666666666664,0.8000000000000002,0.3248717784881591,1.0,1.0,0.0,0.3333333333333333,8,3,6561,500,very_high
extreme_conflict_8x3,3,Fixed Pareto-QAOA,0.9832702743265958,0.007508571853454772,0.9977586566463014,0.0016695043430424328,0.8994024859539036,0.011996338974124006,0.9128209393678085,0.020043464622453915,53.666666666666664,0.8333333333333334,2.9235724608103433,1.0,1.0,0.6666666666666666,0.0,8,3,6561,500,very_high
extreme_conflict_8x3,3,MOEA/D-style,0.9100886618413657,0.04341895930672688,0.9231898517999414,0.03625372806291219,0.7767141415093911,0.053064274931701426,0.7877826935962391,0.047444661907662986,32.666666666666664,0.7999999999999999,3.087111473083496,0.3333333333333333,0.0,0.0,0.0,8,3,6561,500,very_high
extreme_conflict_8x3,3,NSGA-II-style,0.8966089917605881,0.02286532570757493,0.9098182512359717,0.022232882651623855,0.7807681489987229,0.03847283098343914,0.7922252924079588,0.03781437012625452,36.333333333333336,0.6666666666666666,1.8331527709960938,0.0,0.6666666666666666,0.0,0.0,8,3,6561,500,very_high
extreme_conflict_8x3,3,Quantum-Seeded Evolutionary MOO,0.9823009909202468,0.010086366432856817,0.9967510912074667,0.0012037370438063343,0.9640840841440997,0.009211430125100074,0.978272440309336,0.0004145751370796209,52.333333333333336,0.8333333333333334,0.41742928822835285,1.0,1.0,1.0,1.0,8,3,6561,500,very_high
extreme_conflict_8x3,3,Random,0.850288468034983,0.02424784379847685,0.8628876097736988,0.026308213062808058,0.7483365362802851,0.034040414279682706,0.7594795115164367,0.03673250393223498,28.333333333333332,0.5666666666666668,0.36354875564575195,0.3333333333333333,0.3333333333333333,0.0,0.0,8,3,6561,500,very_high
high_conflict_8x3,5,AI-Adaptive Pareto-QAOA,1.017163372521179,0.042095302040454814,0.9950402022603461,0.004141416402262827,0.9081313877409991,0.031777217733290286,0.8886101418824449,0.006442587362627146,35.8,0.68,3.2223955154418946,1.0,1.0,0.0,0.4,8,3,6561,300,high
high_conflict_8x3,5,Classical-Seeded Evolutionary MOO,0.958008678123574,0.027313155672832375,0.937783289816547,0.019661823718396927,0.9309213357281086,0.026703087196618895,0.9111876741584585,0.014877198343542059,21.2,0.6,0.15036034584045407,1.0,1.0,0.0,0.8,8,3,6561,300,high
high_conflict_8x3,5,Fixed Pareto-QAOA,1.0170300573455004,0.044723183863905024,0.9948138979826086,0.006640590179937745,0.9123267537352557,0.0466780789606694,0.8922224998252728,0.015579769419341935,36.2,0.7,3.0215346813201904,1.0,1.0,0.2,0.0,8,3,6561,300,high
high_conflict_8x3,5,MOEA/D-style,0.9345613233206382,0.01474788303241565,0.9154126921328152,0.030777426222949204,0.7899458848980293,0.02128822173628484,0.773536916244869,0.024696732568941327,15.6,0.5800000000000001,0.709910535812378,0.8,0.0,0.0,0.0,8,3,6561,300,high
high_conflict_8x3,5,NSGA-II-style,0.9176758906727382,0.05463251134501287,0.8973357720484308,0.028145657707278275,0.7811337805949217,0.0433179098496616,0.7637579100747416,0.014268568678132124,14.4,0.5,0.9928030967712402,0.0,0.2,0.0,0.0,8,3,6561,300,high
high_conflict_8x3,5,Quantum-Seeded Evolutionary MOO,1.017884715895093,0.04269818196630751,0.9957298497653448,0.005787808710505067,1.0010728414850707,0.04308691764011629,0.9792458259473842,0.007095395380251449,38.0,0.7,0.22335901260375976,1.0,1.0,1.0,1.0,8,3,6561,300,high
high_conflict_8x3,5,Random,0.8578368454746228,0.06118492279233161,0.838378916293601,0.03208743063299416,0.7511240265918284,0.07589244394488723,0.7330755447898307,0.04499852770695807,16.6,0.44000000000000006,0.15959000587463373,0.2,0.4,0.0,0.0,8,3,6561,300,high
low_conflict_8x3,5,AI-Adaptive Pareto-QAOA,1.3297110864361787,0.07415260695270899,0.9911588708722304,0.005903224804671315,1.1925716021972588,0.07434185654021538,0.888624699162803,0.012459701577556586,28.2,0.62,3.1686920642852785,1.0,1.0,0.6,0.6,8,3,6561,300,low
low_conflict_8x3,5,Classical-Seeded Evolutionary MOO,1.2239358371725115,0.04904014006268173,0.9134789165719568,0.028539993354620694,1.1669717248620508,0.07463370251361408,0.8703745147137303,0.03892925195531396,15.4,0.5399999999999999,0.11584391593933101,1.0,1.0,0.0,0.4,8,3,6561,300,low
