method,iteration,cumulative_evaluations,hv
AI-Adaptive Pareto-QAOA,1,20,0.8258393926296276
AI-Adaptive Pareto-QAOA,2,40,0.9196078331836942
AI-Adaptive Pareto-QAOA,3,60,0.9344801970626758
AI-Adaptive Pareto-QAOA,4,80,0.9344801970626758
AI-Adaptive Pareto-QAOA,5,100,1.0286718349628925
AI-Adaptive Pareto-QAOA,6,120,1.0312714758035275
AI-Adaptive Pareto-QAOA,7,140,1.0352011654463478
AI-Adaptive Pareto-QAOA,8,160,1.0352011654463478
AI-Adaptive Pareto-QAOA,9,180,1.0352011654463478
AI-Adaptive Pareto-QAOA,10,200,1.0371962386496258
