case_name,delta_final_hv_vs_nsga2,delta_auc_hv_vs_nsga2,delta_normalized_final_hv_vs_nsga2,delta_normalized_auc_hv_vs_nsga2,win_rate_final_hv_vs_nsga2,win_rate_auc_hv_vs_nsga2,delta_final_hv_vs_moead,delta_auc_hv_vs_moead,delta_normalized_final_hv_vs_moead,delta_normalized_auc_hv_vs_moead,win_rate_final_hv_vs_moead,win_rate_auc_hv_vs_moead,delta_final_hv_vs_classical_seeded_ea,delta_auc_hv_vs_classical_seeded_ea,delta_normalized_final_hv_vs_classical_seeded_ea,delta_normalized_auc_hv_vs_classical_seeded_ea,win_rate_final_hv_vs_classical_seeded_ea,win_rate_auc_hv_vs_classical_seeded_ea,users,channels,feasible_space_size,budget,conflict_level
balanced_objectives_8x3,0.15944030703072468,0.26511785813961924,0.1543897544290431,0.2559013945420437,1.0,1.0,0.14727089493071313,0.2745969226443681,0.14007089458116184,0.26276225324745045,1.0,1.0,0.07398142246796695,0.08223139479583179,0.07088995519766828,0.07846617771785624,1.0,1.0,8,3,6561,300,medium
channel_rich_7x4,0.08039372561773957,0.1819564433629881,0.07889875375831774,0.17828750505111138,1.0,1.0,0.06831006976468038,0.17806565808399039,0.06668070790382086,0.17460172214959824,1.0,1.0,0.08011484458434792,0.10993660227841184,0.0792164557616181,0.10830083286627304,1.0,1.0,7,4,16384,500,high
energy_dominated_8x3,0.1331717808893785,0.24028305636652822,0.1354358919920122,0.2422016355377672,1.0,1.0,0.14801923408592277,0.27191693395881406,0.147338856607252,0.27109484953407875,1.0,1.0,0.09364931183266678,0.09039560767656363,0.09352565752750634,0.09032493664646346,1.0,1.0,8,3,6561,300,medium
energy_dominated_case,0.13816282637213953,0.24929473657817422,0.14078921443911774,0.25268004515435905,1.0,1.0,0.14655151523127752,0.2749120824641196,0.1466615725496483,0.2772501484632041,1.0,1.0,0.07668023524400122,0.07412818585244674,0.07664558101958803,0.07412598529191823,1.0,1.0,8,3,6561,300,medium
extreme_conflict_8x3,0.08569199915965879,0.1833159351453768,0.0869328399714951,0.18604714790137714,1.0,1.0,0.07221232907888124,0.18736994263470863,0.0735612394075255,0.19048974671309685,1.0,1.0,0.05511145390671024,0.0699582402872602,0.05584575050095727,0.07098205987329435,1.0,1.0,8,3,6561,500,very_high
high_conflict_8x3,0.10020882522235466,0.21993906089014909,0.09839407771691414,0.21548791587264268,1.0,1.0,0.08332339257445473,0.21112695658704142,0.08031715763252974,0.20570890970251518,1.0,1.0,0.05987603777151895,0.07015150575696208,0.05794655994879783,0.06805815178892553,1.0,1.0,8,3,6561,300,high
high_conflict_tradeoff_case,0.08031470053354865,0.19857488772769352,0.08072344480893627,0.1998594712022104,1.0,1.0,0.07374111021433712,0.17835386968361275,0.07403229075547846,0.17911029927919164,1.0,1.0,0.03104680893635973,0.038401271805769244,0.030556220228431408,0.03767611416399619,1.0,1.0,8,3,6561,400,very_high
interference_dominated_8x3,0.14376450844081556,0.2223492456398806,0.14109625049457034,0.2182610520510088,1.0,1.0,0.09431951559147522,0.22680958180928815,0.09274750971113895,0.22283149016147766,1.0,1.0,0.0809007543715206,0.07679023094734398,0.07942942034693412,0.07536342656305699,1.0,1.0,8,3,6561,300,high
interference_dominated_case,0.1279796249003711,0.22683701221396263,0.1229988396128221,0.21831319146593486,1.0,1.0,0.12450247386122759,0.22568809205464335,0.12018695624172482,0.21824491726983367,1.0,1.0,0.08686186346653153,0.08389741110763986,0.08359212440861005,0.08066277397973184,1.0,1.0,8,3,6561,300,medium
low_conflict_8x3,0.13637478978194295,0.25405018207035474,0.1020743673452325,0.18879327976349797,1.0,1.0,0.1363010148202481,0.2531464900828568,0.1005569467506066,0.1886793662917705,1.0,1.0,0.11146770330334274,0.1477767967402513,0.0819490686617744,0.10953499806847448,1.0,1.0,8,3,6561,300,low
