case_name,seed_count,method,mean_final_hv,std_final_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_archive_size,mean_direction_coverage,mean_runtime,win_rate_vs_nsga2,win_rate_vs_moead,win_rate_vs_classical_seeded_ea,win_rate_vs_fixed_qaoa,users,channels,feasible_space_size,budget,conflict_level
channel_rich_7x4,5,AI-Adaptive Pareto-QAOA,1.0128425987033682,0.01994641791900566,0.9942548529854184,0.004399479509126974,0.923358302087211,0.01748121147112779,0.9064335728486587,0.005317007970020333,27.0,0.6,3.6693837642669678,1.0,1.0,0.8,0.6,7,4,16384,500,high
channel_rich_7x4,5,Classical-Seeded Evolutionary MOO,0.933379522999289,0.05397929222367238,0.9156238560981187,0.03697803839747678,0.8906069755717979,0.05620658965374943,0.8738382208164875,0.044852537161170776,20.6,0.56,0.2166370868682861,1.0,0.8,0.0,0.2,7,4,16384,500,high
channel_rich_7x4,5,Fixed Pareto-QAOA,1.0118000999126686,0.020031811633490944,0.9932364757618671,0.005785596480101792,0.9263412050380548,0.02543933122707514,0.909264004373823,0.013424320770381502,27.2,0.58,3.6191877841949465,1.0,1.0,0.8,0.0,7,4,16384,500,high
channel_rich_7x4,5,MOEA/D-style,0.9451842978189564,0.01672929565984776,0.9281596039559158,0.023176987867393806,0.8224779197662192,0.027638924133234405,0.8075373315331624,0.027506410731980454,19.6,0.48,1.5034869194030762,0.6,0.0,0.2,0.0,7,4,16384,500,high
channel_rich_7x4,5,NSGA-II-style,0.9331006419658973,0.030052503864122424,0.9159415581014191,0.022168796896604035,0.8185871344872215,0.0300667044741805,0.8038515486316491,0.03282897306542629,17.2,0.52,1.8086141109466554,0.0,0.4,0.0,0.0,7,4,16384,500,high
channel_rich_7x4,5,Quantum-Seeded Evolutionary MOO,1.0134943675836368,0.02238578616330914,0.9948403118597368,0.003256382925041773,1.0005435778502096,0.02150131614254148,0.9821390536827606,0.0024694924995058445,30.2,0.6199999999999999,0.2935467720031738,1.0,1.0,1.0,1.0,7,4,16384,500,high
channel_rich_7x4,5,Random,0.8884563652213936,0.03453917271339729,0.8719150892301112,0.021553654087378357,0.7930314589124846,0.030247630528241164,0.7784833156991314,0.025387379044164833,14.8,0.4800000000000001,0.26071252822875973,0.2,0.4,0.0,0.0,7,4,16384,500,high
scale_10x3,5,AI-Adaptive Pareto-QAOA,0.9339970836103249,0.03145428378581621,0.9889295717600695,0.007621919753290569,0.831286610830358,0.034610915899661435,0.8803630930338187,0.028898270927402162,50.2,0.6799999999999999,7.324731874465942,1.0,1.0,0.2,0.2,10,3,59049,500,high
scale_10x3,5,Classical-Seeded Evolutionary MOO,0.8702792835820421,0.02693785477532775,0.9218552225288053,0.024973910958919734,0.845406472469457,0.023227952749544662,0.8956700225666223,0.026877052681748486,40.2,0.7799999999999999,0.32141680717468263,1.0,1.0,0.0,0.8,10,3,59049,500,high
scale_10x3,5,Fixed Pareto-QAOA,0.9357331698268258,0.03194884052009029,0.990727823236433,0.0040771451272295055,0.8306698002395165,0.031107418755230053,0.8797694121481356,0.026154192074650955,46.6,0.7399999999999999,7.280064058303833,1.0,1.0,0.2,0.0,10,3,59049,500,high
scale_10x3,5,MOEA/D-style,0.8469753161280451,0.030229045631314944,0.8970358728858976,0.024301027112089174,0.6967450629124865,0.04811002908238298,0.737593000607303,0.04201314275031496,33.0,0.6199999999999999,2.577296495437622,0.8,0.0,0.0,0.0,10,3,59049,500,high
scale_10x3,5,NSGA-II-style,0.7918462188194001,0.05534119830177579,0.8382790360405125,0.049678034414606276,0.6638906853521293,0.0496047566793343,0.7023752009039048,0.03793738283346907,27.2,0.5800000000000001,1.6200153827667236,0.0,0.2,0.0,0.0,10,3,59049,500,high
